Id,Name,Number,StreetAddress,City,Province,PostalCode,Latitude,Longitude,Phone,Website,Hours,SupplierType,Email,MondayOpen,MondayClose,TuesdayOpen,TuesdayClose,WednesdayOpen,WednesdayClose,ThursdayOpen,ThursdayClose,FridayOpen,FridayClose,SaturdayOpen,SaturdayClose,SundayOpen,SundayClose,Description,Facebook,Twitter,Instagram,PaymentMethods,LicenseeSales,SpecialEventsOrdering,OnSiteSpecialEvents,OnSiteKitchen,KegSales,SommelierOnStaff,OnlineOrdering,SpecialOrdering,DeliveryService,GrowlerFill,Theme,HeroTitle,HeroDescription,DisplayInventory,ALSAMember,AHLAMember,EstablishmentType
27401,GRANT MACEWAN UNIVERSITY                ,65119600,CENTRE FOR THE ARTS AND COMMUNICATIONS  ,EDMONTON                                          ,AB,T5P 2P7   ,,,(780) 497-4340  ,,,Community Centre,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Community Centre
49922,GLENDALE LIQUOR                         ,76761300,22-2835 37 STREET SW                    ,CALGARY                                           ,AB,T3E 3B3   ,,,(403) 246-0067  ,,,Liquor Store,davidyuliqr@gmail.com                   ,10:00AM,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,12:00pm,10:00am,11:00pm,10:00am,10:00pm,,,,,,False,True,False,False,False,False,False,False,False,False,,,,,False,False,Liquor Store
49923,SOBEYS SPIRITS * WINE * COLD BEER       ,76762200,TRAIL SOUTH CORNERS                     ,EDMONTON                                          ,AB,T6H 0K4   ,,,(780) 465-5617  ,,,Liquor Store,swcb3714trailsouthcorners@sobeys.ca     ,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,11:00pm,10:00am,12:00am,10:00am,12:00am,10:00am,10:00pm,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,True,False,Liquor Store
49924,BOSTON PIZZA                            ,76762400,6238 199 STREET NW                      ,EDMONTON                                          ,AB,T5T 2K4   ,,,(780) 486-6486  ,,,Restaurant,                                        ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Restaurant
49925,RIVER'S LIQUOR STORE                    ,76763700,8006 99 AVENUE                          ,PEACE RIVER                                       ,AB,T8S 1R2   ,56.234672,-117.333089,(780) 624-8805  ,,,Liquor Store,benjgie@hotmail.com                     ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Liquor Store
49926,LELAND HOTEL                            ,76763900,5009 50 AVENUE                          ,PONOKA                                            ,AB,T4J 1R7   ,,,(403) 783-3238  ,,,Hotel,mayaworski@outlook.com                  ,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,12:00PM,10:00AM,12:00PM,11:00AM,7:00PM,,,,,"Debit, MasterCard, Visa",False,False,False,False,False,False,False,False,False,,,,,,False,False,Hotel
49927,BOSTON PIZZA BEAUMONT                   ,76764100,6210 50 STREET                          ,BEAUMONT                                          ,AB,T4X 0B6   ,,,(780) 929-0207  ,,,Restaurant,                                        ,11:00am,11p,11,11p,11,11p,11,11pm,11,1,11,1:00am,11,11p,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,False,False,Restaurant
49929,NORTHLANDS LIQUOR STORE                 ,76764800,20 NORTHLANDS WAY NE                    ,MEDICINE HAT                                      ,AB,T1C 1Z2   ,50.063553,-110.685549,(403) 580-5264  ,,,Liquor Store,c.drescher@sccoop.ca                    ,10:00AM,10:00PM,10:00AM,10:00PM,10:00AM,10:00PM,10:00AM,10:00PM,10:00AM,10:00PM,10:00AM,10:00PM,11:00AM,7:00PM,,,,,"AMEX, Debit, MasterCard, Visa",True,True,False,False,True,False,False,False,False,,,,,,False,False,Liquor Store
49930,BONNYVILLE CENTENNIAL CENTRE            ,76765500,1003-4313 50 AVENUE                     ,BONNYVILLE                                        ,AB,T9N 0B4   ,,,(780) 812-3400  ,,,Community Centre,admin@centennialcentre.ca               ,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,False,False,Community Centre
49931,CRESTWOOD FINE WINES & SPIRITS          ,76767400,9658 142 STREET NW                      ,EDMONTON                                          ,AB,T5N 4B2   ,53.534339,-113.567005,(780) 488-7800  ,,,Liquor Store,                                        ,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,9:00PM,10:00AM,9:00PM,11:00AM,6:00PM,,,,,"AMEX, Debit, MasterCard, Visa",False,False,False,False,False,False,False,False,False,,,,,,True,False,Liquor Store
